User ID:,Section,MQ1,MQ2,MQ3,MQ4,I usually do well on group engineering activities.,I can work well with a partner on projects.,I have valuable information to contribute to my group.,I frequently make productive contributions in group discussions.,"With a partner, I am confident that we can design the best power plant in the class.",I can reliably identify the factors that affect rankine cycles.,I have understood the past week of coursework on rankine cycles.,I can clearly explain my understanding of rankine cycles.,Working with computers is enjoyable.,I can use a computer to solve thermodynamics problems.,Intelligence is something that can be increased,"You can learn new things, but how intelligent you are stays pretty much the same.","I prefer problems that are hard, new, and different so I can try to learn from them.","I prefer problems that are fun and easy to do, so I can avoid mistakes.",I enjoy problems that I’m good at because they make me feel smart.,My learning in this course is a direct result of the amount of effort I put forth.,The team did a good job drawing connections between different perspectives.,The team discussed pros and cons for different ways of meeting the goals.,Team members exchanged relevant information during the task.,The team collaborated on developing a shared understanding of the task information.,The team adapted its plan as new information was brought up in discussions.,The team tended to stop offering different options for the plan once it found one option that seemed to work.,Team members worked with one another to ensure the best options were chosen for the plan.,Team members offered a variety of different ideas for how to meet the operation goals.
student1,2,1,5,5,2,5,3,3,4,4,7,5,4,7,7,4,5,1,1,6,7,4,6,3,7,4,7,3,1
student2,2,5,2,3,3,4,4,4,6,4,3,2,5,4,5,7,7,4,1,2,5,3,7,3,1,1,6,2,4
student3,2,7,2,5,1,4,2,4,1,6,7,6,3,3,2,7,5,4,4,7,2,6,3,5,4,4,5,5,3
student4,2,1,2,6,2,5,6,5,6,2,3,1,7,4,2,2,6,7,6,3,5,4,2,2,4,3,7,6,1
student5,2,7,4,1,7,5,1,7,5,6,2,6,5,5,3,5,2,6,3,6,6,3,7,7,2,3,2,3,2
student6,2,7,3,3,6,2,5,2,5,4,4,4,3,4,7,7,5,1,5,5,1,1,6,2,3,3,6,3,7
student7,2,7,5,6,7,2,1,5,6,7,6,4,4,3,5,3,6,6,2,3,2,5,6,7,2,5,7,2,4
student8,2,3,6,3,3,2,1,6,4,1,1,1,4,3,6,4,2,7,2,4,5,6,3,1,4,7,4,7,3
student9,2,2,5,6,6,6,5,3,7,1,3,2,5,6,2,5,4,6,7,2,7,5,6,4,1,7,4,7,3
student10,2,4,7,2,7,4,1,6,6,4,7,3,5,6,3,4,5,3,6,4,3,2,3,4,7,5,4,1,3
student11,2,4,3,6,4,5,1,3,5,5,4,4,5,3,1,4,5,5,2,6,1,5,2,4,1,7,2,2,3
student12,2,6,1,1,6,1,7,3,3,1,3,3,6,6,4,1,2,1,5,4,5,3,6,1,5,6,2,7,3
student13,2,4,6,2,7,7,4,5,3,2,7,6,3,6,1,1,7,6,6,1,6,5,4,3,2,3,2,4,5
student14,2,7,4,3,7,3,5,2,4,7,2,6,1,4,4,3,6,7,6,2,4,1,1,5,6,3,3,4,4
student15,2,6,6,7,7,2,4,6,7,6,6,4,6,3,4,1,6,2,3,2,4,4,6,7,4,2,1,3,6
student16,2,3,6,5,5,1,2,4,4,2,4,6,6,2,6,7,7,1,2,2,6,6,6,7,3,3,1,6,3
student17,2,3,4,4,4,4,1,3,1,6,6,6,2,6,2,4,1,6,5,4,6,3,2,4,4,6,6,2,7
student18,2,1,6,6,4,5,2,3,2,6,1,4,2,6,5,3,3,2,5,3,4,1,4,6,5,1,5,5,7
student19,2,1,3,3,7,1,1,3,3,2,2,5,1,3,4,2,1,3,5,2,7,7,5,6,6,5,5,6,6
student20,2,1,6,1,1,3,4,3,3,3,2,2,4,1,1,7,5,1,2,4,6,5,7,7,4,4,5,1,5
student21,2,3,5,4,5,7,4,5,7,6,6,1,5,4,3,4,7,5,4,1,5,7,5,4,2,5,4,4,6
student22,2,3,7,3,3,3,7,4,2,2,5,6,5,6,4,4,1,5,7,2,2,1,2,5,1,1,1,3,4
student23,2,5,7,2,1,2,7,5,4,6,7,1,5,6,4,7,6,2,1,5,6,3,5,5,5,7,3,4,1
student24,2,6,1,4,3,6,6,6,2,5,7,3,6,4,4,6,1,4,3,7,5,7,5,3,6,4,1,5,4
student25,2,5,6,4,6,2,5,1,4,6,4,3,2,1,5,3,7,2,1,6,7,6,4,5,5,3,1,1,3
student26,2,5,2,7,7,3,2,1,6,7,2,7,2,3,3,6,6,1,4,7,6,5,2,6,3,3,5,1,7
student27,2,4,6,1,5,3,4,7,7,6,1,5,6,5,4,3,1,5,6,3,5,2,3,1,6,5,3,4,2
student28,2,4,6,6,2,5,3,7,3,4,2,3,5,4,2,7,2,3,1,6,7,1,1,6,7,4,5,3,4
student29,2,6,1,6,1,6,6,6,7,1,7,7,6,6,4,6,4,1,3,4,3,5,1,6,3,7,4,3,6
student30,2,3,4,3,5,7,4,5,1,1,5,4,6,5,1,5,4,7,2,2,4,5,7,7,4,2,7,3,7
student31,2,4,7,4,1,7,3,3,1,1,5,1,6,1,6,2,2,1,2,2,5,6,2,1,6,6,3,5,6
student32,2,4,1,6,3,2,7,5,2,4,5,2,5,2,5,6,7,6,7,2,6,7,6,3,3,2,2,6,5
student33,2,2,5,1,7,1,1,7,3,2,5,4,7,7,7,1,5,4,7,6,2,4,1,1,6,3,1,4,6
student34,2,2,3,6,2,3,5,2,4,6,6,6,4,1,3,4,5,5,3,2,5,6,2,1,2,5,5,6,7
student35,2,4,6,2,5,3,7,7,3,4,4,4,7,5,2,6,5,5,1,5,1,4,1,5,5,3,7,1,3
student36,2,6,4,5,2,3,6,6,6,1,3,6,2,2,3,4,4,4,4,3,5,7,3,1,4,4,5,2,3
student37,2,1,1,1,4,3,6,5,4,6,2,6,1,4,1,7,7,3,7,7,4,1,3,5,7,6,4,4,5
student38,2,2,5,5,3,4,5,2,2,5,7,6,5,5,4,2,6,6,2,7,5,5,6,5,2,1,6,3,4
student39,2,7,4,2,6,1,7,5,6,5,1,7,7,1,4,5,7,6,7,6,6,7,6,4,5,2,1,5,1
student40,2,6,7,1,6,4,5,3,3,3,2,5,4,6,7,4,2,4,2,5,2,5,3,1,7,2,3,4,5
